CASE ID,OPEN DATE,CLOSED DATE,STATUS,TYPE,REQUEST DESCRIPTION,LOCATION DESCRIPTION,SUPERVISOR DISTRICT,ADDRESS,POSITION
3314435,01/28/2014 11:02:00 AM,,Open,Graffiti on Private Property,Graffiti - Private  Private property graffiti,3600 03RD ST,10,Intersection of 3RD ST and CUSTER AVE,"(37.7442592931634, -122.387372633637)"
3312060,01/27/2014 03:54:00 PM,01/27/2014 07:54:00 PM,Closed,Graffiti on Public Property,Graffiti on bus shelter at 3rd and Perry. This is the 3rd request for the same Graffiti. Previous SR 3293074,,6,Intersection of 3RD ST and PERRY ST,"(37.7821192380475, -122.396841560853)"
3247391,01/08/2014 11:05:00 AM,,Open,Graffiti on Private Property,Graffiti - Private  Private property graffiti,428 03RD ST,6,Intersection of 3RD ST and PERRY ST,"(37.7821192380475, -122.396841560853)"
3265577,01/13/2014 11:41:00 AM,01/14/2014 02:02:00 PM,Closed,Graffiti on Public Property,Graffiti on bus shelter 3rd and Perry,"Reported as: 3rd St, San Francisco",6,Intersection of 3RD ST and PERRY ST,"(37.7821192380475, -122.396841560853)"
3293074,01/21/2014 12:04:00 PM,01/22/2014 01:30:00 PM,Closed,Graffiti on Public Property,Graffiti on bus shelter at 3rd and Perry,,6,Intersection of 3RD ST and PERRY ST,"(37.7821192380475, -122.396841560853)"
3251683,01/09/2014 10:21:00 AM,02/04/2014 11:04:00 AM,Closed,Sign Repair or Replace,Red graffiti,,10,Intersection of JERROLD AVE and PHELPS ST,"(37.7398531358305, -122.391268341522)"
3308384,01/26/2014 02:40:00 PM,01/26/2014 02:57:00 PM,Closed,Request for City Services,Transferred from SR # 3308229: Offensive graffiti on a fire hydrant. ,SWC of Silver/University,9,Intersection of SILVER AVE and UNIVERSITY ST,"(37.7292228389386, -122.415192699298)"
3271546,01/14/2014 04:17:00 PM,01/14/2014 05:36:00 PM,Closed,Internal Service Request,"Graffiti on Cal-Trans ""caution"" sign
http://mobile311.sfgov.org/media/san_francisco/report/photos/529a68f4df86d5d8ed1ad31e/report.jpg",On Cambridge at Stoneyford,9,Intersection of CAMBRIDGE ST and STONEYFORD AVE,"(37.7313086091541, -122.420944912197)"
3309929,01/27/2014 09:04:00 AM,,Open,Graffiti on Private Property,Graffiti - Private  Private property graffiti on the building..,Bache St,9,Intersection of BACHE ST and BENTON AVE,"(37.7339492607925, -122.417571004712)"
3314369,01/28/2014 10:49:00 AM,02/01/2014 06:22:00 AM,Closed,Graffiti on Public Property,"customer states there is graffiti on the utility pole which is about 15ft from the corner on newman,black spray paint. she also states that there have been burglaries in the area and the tag may be related to these actions",on newman off of andover,9,Intersection of ANDOVER ST and NEWMAN ST,"(37.7376683322982, -122.41657498758)"
3290021,01/20/2014 12:57:00 PM,01/20/2014 01:32:00 PM,Closed,Graffiti on Public Property,At corner of Arnold at crescent Ave ( on crescent). Graffiti in blue USPS mail box. I submitted this a few weeks ago and says case closed but it was never painted and now more graffiti on all sides including inside of mail slot.,"Reported as: 256 Crescent Ave, San Francisco",9,Intersection of ARNOLD AVE and CRESCENT AVE,"(37.735027254, -122.41960701)"
3270006,01/14/2014 11:51:00 AM,01/22/2014 04:17:00 AM,Closed,SSP Graffiti on Public Property,RE PAINT HYDRANT WHITE. HYDRANT WAS PAINTED IN SILVER GRAFFITI,,9,Intersection of BOCANA ST and CORTLAND AVE,"(37.7392972478069, -122.418584488333)"
3240702,01/06/2014 06:10:00 PM,01/13/2014 02:15:00 AM,Closed,Graffiti on Public Property,Graffiti on police call box at corner of Geneva and Naples.,Reported as: Intersection of Geneva Ave & Naples St,11,Intersection of GENEVA AVE and NAPLES ST,"(37.7142094852329, -122.436176460695)"
3254115,01/09/2014 05:40:00 PM,01/10/2014 12:34:00 PM,Closed,Graffiti on Public Property,Graffiti on the Side of the transit shelter at corner of Paris and Geneva,"Reported as: 1001 Geneva Ave, San Francisco",11,Intersection of GENEVA AVE and PARIS ST,"(37.7156724152037, -122.439438395667)"
3278523,01/16/2014 12:56:00 PM,01/30/2014 05:12:00 AM,Closed,Graffiti on Public Property,Graffiti on newsrack,"Reported as: 501 Taraval St, San Francisco",7,Intersection of 15TH AVE and TARAVAL ST,"(37.7432399182241, -122.471356713522)"
